year,전체,남자,여자
1998,25.8,25.7,25.9
2001,30.3,32.0,29.1
2005,31.4,34.9,27.9
2007,32.1,36.6,27.8
2008,31.0,35.6,26.5
2009,31.9,36.2,27.6
2010,31.4,36.5,26.4
2011,31.9,35.2,28.6
2012,32.8,36.1,29.7
2013,32.5,37.6,27.5
2014,31.5,37.7,25.3
2015,34.1,39.6,28.8
2016,35.5,41.8,29.2
2017,34.8,41.1,28.4
2018,35.0,41.9,28.1
2019,34.4,41.4,27.3
2020,38.4,46.9,29.9
2021,37.2,44.8,29.5
2022,37.2,46.0,28.4
2023,37.1,44.0,30.2
2024,37.9,47.1,28.6
